Date,5/3/25,,,
,,,,
Area (cmÂ²),11.6964,Thickness (cm),0.18,
,,,,
NOTE: Connect to REAR terminals with triaxial cables for best low-current accuracy,,,,
,,,,
TRIAL 1: POSITIVE VOLTAGES (25V-200V),,,,
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
25,25.004,2.5,0.1,6.59E+14
50,50.001,2.7,0.1,1.21E+15
100,100.003,3,0.1,2.16E+15
150,150.001,3,0.1,3.21E+15
200,199.999,3.9,0.1,3.34E+15
,,,,
TRIAL 2: NEGATIVE VOLTAGES (-25V to -200V),,,,
Voltage Sourced (V),Voltage obs (V),Measured Current (pA),STDEV (pA),Resistivity (ohm cm)
-25,-25.001,-0.1,0.1,3.07E+16
-50,-50,-0.3,0,1.04E+16
-100,-100,-0.8,0.2,7.81E+15
-150,-149.997,-1.7,0.1,5.87E+15
-200,-199.997,-2.6,0.1,4.98E+15